rep,stress,breadth,unit_share,unit_acceptance,total_completion
12,0.9,0.4,0.4722978848431598,0.4258469042611158,0.510370267981702
12,0.9,0.6,0.6443206973484161,0.5685448136956907,0.5609965155433438
12,0.9,0.8,0.8048117515464044,0.7205100161247411,0.7471816926512622
12,0.9,1.0,0.758741094918194,0.8603973296915378,0.8928555602563983
13,0.1,0.4,0.01648719454975658,0.07939130414217023,0.9045433349945055
13,0.1,0.6,0.03339081674901485,0.148702659676006,0.9177956599639387
13,0.1,0.8,0.06940029199705593,0.242349312963116,0.8652163123891944
13,0.1,1.0,0.10609495868587812,0.3808684813333224,0.8665154179562186
13,0.3,0.4,0.087397418176879,0.14539848403749267,0.6211429906382622
13,0.3,0.6,0.1144153409709107,0.2502434079981445,0.7303293589705071
13,0.3,0.8,0.16384280618580152,0.39199897994669497,0.7966765184830463
13,0.3,1.0,0.21265883959261422,0.5545916542733966,0.9137729597496876
13,0.5,0.4,0.17983550585520025,0.24785169173118612,0.6323311186818431
13,0.5,0.6,0.2349364027762235,0.38277095145771955,0.7465392560556263
13,0.5,0.8,0.3503394185887415,0.5352788766685251,0.7071412783444866
13,0.5,1.0,0.41774390965507924,0.715044152092549,0.9101162642287397
13,0.7,0.4,0.32240746684145527,0.346149734833066,0.5482649591204919
13,0.7,0.6,0.5017931513795092,0.49615732610573743,0.585048477962946
13,0.7,0.8,0.5773455492707367,0.6492271360963656,0.7933880231513989
13,0.7,1.0,0.6287564358973158,0.8116658849879769,0.9462216069752275
13,0.9,0.4,0.4885929239358582,0.422847412898756,0.46461889946574253
13,0.9,0.6,0.6913133361644586,0.5689938033058723,0.6011029137982207
13,0.9,0.8,0.6470234067102629,0.7148937100771727,0.7767392160521746
13,0.9,1.0,0.7906751681508534,0.8605408951983123,0.9361134603786516
14,0.1,0.4,0.017204172622158072,0.07551925476097444,0.8595746944758536
14,0.1,0.6,0.012805548999144791,0.14380411661632572,0.9667388687295213
14,0.1,0.8,0.020220927385624324,0.24202216471000762,0.9628461705491634
14,0.1,1.0,0.06121288220995477,0.3713684160819692,0.9034715416572088
14,0.3,0.4,0.06397075140141012,0.14544827935623747,0.7839987387493802
14,0.3,0.6,0.11642853356868003,0.24677843878413785,0.7486026934981114
14,0.3,0.8,0.17255822555012676,0.39387729921327747,0.7970530974063971
14,0.3,1.0,0.229915801767646,0.5846314417739484,0.8819028605450565
14,0.5,0.4,0.16699991604110495,0.2517729523676553,0.605173353403499
14,0.5,0.6,0.29634642777187864,0.3869602022837729,0.6836907323841793
14,0.5,0.8,0.37050699745484744,0.5397542674544896,0.797034560427933
14,0.5,1.0,0.4355195919793348,0.7054538909546687,0.8324840185785128
14,0.7,0.4,0.2999422796539893,0.34694928566433664,0.6281704850771939
14,0.7,0.6,0.42309504736444614,0.49852711196053695,0.6469660445518602
14,0.7,0.8,0.48383209055567344,0.6496501308199799,0.8591608255578395
14,0.7,1.0,0.5815006664351616,0.8093066918346266,0.8634928759817676
14,0.9,0.4,0.6083775058828097,0.4243512930798231,0.4910830495379537
14,0.9,0.6,0.6165532074177956,0.5728171089371197,0.6183330904845059
14,0.9,0.8,0.7150746855945971,0.7139768818443243,0.7888382930973354
14,0.9,1.0,0.7912658825009007,0.8608933557694556,0.9314257785066623
15,0.1,0.4,0.01802666768745403,0.08192279581013635,0.8559336579469822
15,0.1,0.6,0.02745127229207841,0.14211191224446704,0.8923293427135656
15,0.1,0.8,0.046508101502853255,0.2422254530343998,0.9292059888096766
15,0.1,1.0,0.09075575933314627,0.38430116682360865,0.8912045056100625
15,0.3,0.4,0.07184504035838493,0.14741694767827818,0.7179212030883542
15,0.3,0.6,0.14410878743389396,0.2596028432672598,0.7194888531663309
15,0.3,0.8,0.15715540634533404,0.3940146689731964,0.8017857130955106
15,0.3,1.0,0.22171286667688694,0.5670866635234658,0.9091552547452374
15,0.5,0.4,0.17054160087567213,0.24766551874271733,0.6395766545775897
15,0.5,0.6,0.27963106093875145,0.37765444104301255,0.7011860521725086
15,0.5,0.8,0.398608951164506,0.5498244766683695,0.7793272619800853
15,0.5,1.0,0.4706744765995257,0.7121491037997982,0.8712393195912671
15,0.7,0.4,0.3153187623460304,0.33982938375432564,0.4818176981812724
15,0.7,0.6,0.4693598989046732,0.4950032408571492,0.6792820800539775
15,0.7,0.8,0.5364871600648957,0.6619178085269943,0.7974201746332664
15,0.7,1.0,0.6074875306781464,0.8108166040620008,0.9199536653053665
15,0.9,0.4,0.5276259328885912,0.42497931119181853,0.4680735171309508
15,0.9,0.6,0.6008323130091293,0.5682729891227676,0.6478936958843882
15,0.9,0.8,0.733318346661148,0.7138473583637581,0.8057358499728902
15,0.9,1.0,0.8333909626015117,0.8609723185944211,0.9379729660388546
